library_id,total_spots,total_bases,taxonomy_id,ScientificName,kingdom,phylum,class,order,family,genus,species
"SRR15243983", 5525327, 1657598100, 1144547, " Actinoplanes hulinensis", " Bacteria", " NA", " Actinomycetia", " Micromonosporales", " Micromonosporaceae", " Actinoplanes", " Actinoplanes hulinensis"
"SRR5517577", 163482, 2600835868, 1984801, " Streptomyces sp. CLI2509", " Bacteria", " NA", " Actinomycetia", " Streptomycetales", " Streptomycetaceae", " Streptomyces", " Streptomyces sp. CLI2509"
"SRR3924489", 23629, 2835480, 446466, " Cellulomonas flavigena DSM 20109", " Bacteria", " NA", " Actinomycetia", " Micrococcales", " Cellulomonadaceae", " Cellulomonas", " Cellulomonas flavigena"
"SRR11498591", 1877134, 942321268, 2724914, " Leifsonia sp. PS1209", " Bacteria", " NA", " Actinomycetia", " Micrococcales", " Microbacteriaceae", " Leifsonia", " Leifsonia sp. PS1209"
"SRR6654040", 3130271, 945341842, 2080544, " Rathayibacter sp. AY1D3", " Bacteria", " NA", " Actinomycetia", " Micrococcales", " Microbacteriaceae", " Rathayibacter", " Rathayibacter sp. AY1D3"
"SRR3938179", 7489727, 2246918100, 1089549, " Haloglycomyces albus DSM 45210", " Bacteria", " NA", " Actinomycetia", " Glycomycetales", " Glycomycetaceae", " Haloglycomyces", " Haloglycomyces albus"
"SRR3922596", 18278771, 658035756, 2716812, " Candidatus Frankia datiscae", " Bacteria", " NA", " Actinomycetia", " Frankiales", " Frankiaceae", " Frankia", " Candidatus Frankia datiscae"
"SRR016602", 503885, 133073939, 446471, " Xylanimonas cellulosilytica DSM 15894", " Bacteria", " NA", " Actinomycetia", " Micrococcales", " Promicromonosporaceae", " Xylanimonas", " Xylanimonas cellulosilytica"
"ERR2532343", 23563131, 2379876231, 953739, " Streptomyces venezuelae ATCC 10712", " Bacteria", " NA", " Actinomycetia", " Streptomycetales", " Streptomycetaceae", " Streptomyces", " Streptomyces venezuelae"
"SRR5831920", 2833461, 855705222, 1610489, " Corynebacterium pollutisoli", " Bacteria", " NA", " Actinomycetia", " Corynebacteriales", " Corynebacteriaceae", " Corynebacterium", " Corynebacterium pollutisoli"
"SRR1145492", 78800, 27580000, 1438831, " Mycolicibacterium smegmatis M45D3pre", " Bacteria", " NA", " Actinomycetia", " Corynebacteriales", " Mycobacteriaceae", " Mycolicibacterium", " Mycolicibacterium smegmatis"
"SRR6654019", 2408769, 727448238, 2080583, " Pseudoclavibacter sp. AY1F1", " Bacteria", " NA", " Actinomycetia", " Micrococcales", " Microbacteriaceae", " Pseudoclavibacter", " Pseudoclavibacter sp. AY1F1"
"SRR7309770", 382940, 230297744, 2170745, " Auritidibacter sp. NML130574", " Bacteria", " NA", " Actinomycetia", " Micrococcales", " Micrococcaceae", " Auritidibacter", " Auritidibacter sp. NML130574"
"SRR12066822", 14813106, 4443931800, 2746964, " Microbacterium sp. JWG-G2", " Bacteria", " NA", " Actinomycetia", " Micrococcales", " Microbacteriaceae", " Microbacterium", " Microbacterium sp. JWG-G2"
"SRR18700736", 1033768, 6850287763, 1365924, " Kibdelosporangium banguiense", " Bacteria", " NA", " Actinomycetia", " Pseudonocardiales", " Pseudonocardiaceae", " Kibdelosporangium", " Kibdelosporangium banguiense"
"SRR3947642", 5460271, 1638081300, 1111737, " Thermocrispum municipale DSM 44069", " Bacteria", " NA", " Actinomycetia", " Pseudonocardiales", " Pseudonocardiaceae", " Thermocrispum", " Thermocrispum municipale"
"SRR21922789", 2103567, 553717492, 2594913, " Corynebacterium sanguinis", " Bacteria", " NA", " Actinomycetia", " Corynebacteriales", " Corynebacteriaceae", " Corynebacterium", " Corynebacterium sanguinis"
"SRR088961", 2860573, 572114600, 765081, " Cutibacterium acnes HL087PA1", " Bacteria", " NA", " Actinomycetia", " Propionibacteriales", " Propionibacteriaceae", " Cutibacterium", " Cutibacterium acnes"
"SRR7977688", 5450832, 1635249600, 31963, " Clavibacter michiganensis subsp. nebraskensis", " Bacteria", " NA", " Actinomycetia", " Micrococcales", " Microbacteriaceae", " Clavibacter", " Clavibacter michiganensis"
"SRR6860654", 18290755, 10824944145, 709876, " Micromonospora noduli", " Bacteria", " NA", " Actinomycetia", " Micromonosporales", " Micromonosporaceae", " Micromonospora", " Micromonospora noduli"
"SRR18717917", 48000, 171051672, 1053547, " Gordonia alkaliphila", " Bacteria", " NA", " Actinomycetia", " Corynebacteriales", " Gordoniaceae", " Gordonia", " Gordonia alkaliphila"
"SRR10075986", 16699854, 5043355908, 1572644, " Microbacterium proteolyticum", " Bacteria", " NA", " Actinomycetia", " Micrococcales", " Microbacteriaceae", " Microbacterium", " Microbacterium proteolyticum"
"SRR3924027", 4080245, 146888820, 479430, " Actinospica robiniae DSM 44927", " Bacteria", " NA", " Actinomycetia", " Catenulisporales", " Actinospicaceae", " Actinospica", " Actinospica robiniae"
"SRR3947908", 5425243, 1627572900, 1121363, " Corynebacterium lubricantis DSM 45231", " Bacteria", " NA", " Actinomycetia", " Corynebacteriales", " Corynebacteriaceae", " Corynebacterium", " Corynebacterium lubricantis"
"SRR3926520", 18694210, 672991560, 862751, " Streptomyces sp. SirexAA-E", " Bacteria", " NA", " Actinomycetia", " Streptomycetales", " Streptomycetaceae", " Streptomyces", " Streptomyces sp. SirexAA-E"
"SRR958923", 3939736, 795826672, 1203631, " Propionibacterium sp. KPL2003", " Bacteria", " NA", " Actinomycetia", " Propionibacteriales", " Propionibacteriaceae", " Propionibacterium", " Propionibacterium sp. KPL2003"
"DRR064039", 3000000, 6e+08, 1206735, " Nocardia takedensis NBRC 100417", " Bacteria", " NA", " Actinomycetia", " Corynebacteriales", " Nocardiaceae", " Nocardia", " Nocardia takedensis"
"DRR064049", 73508, 73608782, 1303685, " Mycolicibacterium chlorophenolicum JCM 7439 = NBRC 15527", " Bacteria", " NA", " Actinomycetia", " Corynebacteriales", " Mycobacteriaceae", " Mycolicibacterium", " Mycolicibacterium chlorophenolicum"
"DRR161305", 121670, 909848130, 1138383, " Mycobacterium paraintracellulare", " Bacteria", " NA", " Actinomycetia", " Corynebacteriales", " Mycobacteriaceae", " Mycobacterium", " Mycobacterium paraintracellulare"
"SRR7509521", 16797887, 6224269637, 2250574, " Blastococcus sp. TF02-8", " Bacteria", " NA", " Actinomycetia", " Geodermatophilales", " Geodermatophilaceae", " Blastococcus", " Blastococcus sp. TF02-8"
"SRR011003", 88571, 24023906, 525370, " Rhodococcus hoagii ATCC 33707", " Bacteria", " NA", " Actinomycetia", " Corynebacteriales", " Nocardiaceae", " Prescottella", " Prescottella equi"
"SRR13283329", 3415244, 1008248695, 2798728, " Blastococcus sp. TML/C7B", " Bacteria", " NA", " Actinomycetia", " Geodermatophilales", " Geodermatophilaceae", " Blastococcus", " Blastococcus sp. TML/C7B"
"SRR5239137", 993594, 476220607, 1538463, " Nocardia donostiensis", " Bacteria", " NA", " Actinomycetia", " Corynebacteriales", " Nocardiaceae", " Nocardia", " Nocardia donostiensis"
"SRR1801371", 12289322, 3711375244, 938463, " actinobacterium SCGC AAA028-K15", " Bacteria", " NA", " Actinomycetia", " NA", " NA", " NA", " actinobacterium SCGC AAA028-K15"
"SRR7825136", 375722, 1245191251, 743009, " Microbacterium oryzae", " Bacteria", " NA", " Actinomycetia", " Micrococcales", " Microbacteriaceae", " Microbacterium", " Microbacterium oryzae"
"SRR1587782", 4376568, 1312970400, 1449068, " Rhodococcus sp. UNC23MFCrub1.1", " Bacteria", " NA", " Actinomycetia", " Corynebacteriales", " Nocardiaceae", " Rhodococcus", " Rhodococcus sp. UNC23MFCrub1.1"
"DRR161251", 138069, 842549897, 1799, " Mycolicibacterium aichiense", " Bacteria", " NA", " Actinomycetia", " Corynebacteriales", " Mycobacteriaceae", " Mycolicibacterium", " Mycolicibacterium aichiense"
"SRR11871347", 1158574, 465407997, 1933880, " Glutamicibacter halophytocola", " Bacteria", " NA", " Actinomycetia", " Micrococcales", " Micrococcaceae", " Glutamicibacter", " Glutamicibacter halophytocola"
"SRR9067261", 1066360, 316018402, 649743, " Actinomyces sp. oral taxon 848 str. F0332", " Bacteria", " NA", " Actinomycetia", " Actinomycetales", " Actinomycetaceae", " Actinomyces", " Actinomyces sp. oral taxon 848"
"SRR7628066", 103525, 544866648, 687413, " Amycolatopsis sp. A1MSW2902", " Bacteria", " NA", " Actinomycetia", " Pseudonocardiales", " Pseudonocardiaceae", " Amycolatopsis", " Amycolatopsis sp. A1MSW2902"
"SRR445465", 5325749, 1065149800, 936548, " Actinomyces sp. ICM47", " Bacteria", " NA", " Actinomycetia", " Actinomycetales", " Actinomycetaceae", " Actinomyces", " Actinomyces sp. ICM47"
"SRR1151289", 3731057, 753673514, 1437599, " Bifidobacterium coryneforme DSM 20216", " Bacteria", " NA", " Actinomycetia", " Bifidobacteriales", " Bifidobacteriaceae", " Bifidobacterium", " Bifidobacterium coryneforme"
"SRR3928450", 36108968, 5488563136, 926564, " Promicromonospora kroppenstedtii DSM 19349", " Bacteria", " NA", " Actinomycetia", " Micrococcales", " Promicromonosporaceae", " Promicromonospora", " Promicromonospora kroppenstedtii"
"SRR3947906", 7766424, 2329927200, 558173, " Corynebacterium doosanense CAU 212 = DSM 45436", " Bacteria", " NA", " Actinomycetia", " Corynebacteriales", " Corynebacteriaceae", " Corynebacterium", " Corynebacterium doosanense"
"SRR14269656", 605925, 180501049, 2802641, " Kutzneria sp. CA-103260", " Bacteria", " NA", " Actinomycetia", " Pseudonocardiales", " Pseudonocardiaceae", " Kutzneria", " Kutzneria sp. CA-103260"
"SRR7734242", 4658900, 1397670000, 718288, " Streptomyces sp. S1", " Bacteria", " NA", " Actinomycetia", " Streptomycetales", " Streptomycetaceae", " Streptomyces", " Streptomyces sp. S1"
"SRR5262387", 21275, 123871618, 1662404, " Streptomyces sp. GKU 895", " Bacteria", " NA", " Actinomycetia", " Streptomycetales", " Streptomycetaceae", " Streptomyces", " Streptomyces sp. GKU 895"
"SRR5819223", 163482, 1826780288, 1495638, " Streptomyces sp. M56", " Bacteria", " NA", " Actinomycetia", " Streptomycetales", " Streptomycetaceae", " Streptomyces", " Streptomyces sp. M56"
"SRR3721252", 8508412, 2552523600, 1122238, " Microbacterium indicum DSM 19969", " Bacteria", " NA", " Actinomycetia", " Micrococcales", " Microbacteriaceae", " Microbacterium", " Microbacterium indicum"
"SRR536869", 4151317, 838566034, 888439, " Winkia neuii BV029A5", " Bacteria", " NA", " Actinomycetia", " Actinomycetales", " Actinomycetaceae", " Winkia", " Winkia neuii"
"SRR13414778", 1088276, 10700112775, 2789424, " Actinomyces sp. HMT897", " Bacteria", " NA", " Actinomycetia", " Actinomycetales", " Actinomycetaceae", " Actinomyces", " Actinomyces sp. HMT897"
"SRR958916", 3300655, 666732310, 1203572, " Propionibacterium sp. KPL1838", " Bacteria", " NA", " Actinomycetia", " Propionibacteriales", " Propionibacteriaceae", " Propionibacterium", " Propionibacterium sp. KPL1838"
"SRR3923914", 24820530, 124102650, 640132, " Segniliparus rotundus DSM 44985", " Bacteria", " NA", " Actinomycetia", " Corynebacteriales", " Segniliparaceae", " Segniliparus", " Segniliparus rotundus"
"SRR12135868", 122614, 1898168289, 2749906, " Rhodococcus sp. ZPP", " Bacteria", " NA", " Actinomycetia", " Corynebacteriales", " Nocardiaceae", " Rhodococcus", " Rhodococcus sp. ZPP"
"SRR12180933", 4584189, 1375256700, 2749088, " Streptomyces shenzhenensis subsp. oryzicola", " Bacteria", " NA", " Actinomycetia", " Streptomycetales", " Streptomycetaceae", " Streptomyces", " Streptomyces shenzhenensis"
"SRR6654052", 1834579, 554042858, 2080540, " Rathayibacter sp. AY1C7", " Bacteria", " NA", " Actinomycetia", " Micrococcales", " Microbacteriaceae", " Rathayibacter", " Rathayibacter sp. AY1C7"
"SRR017613", 560448, 306762713, 471856, " Jonesia denitrificans DSM 20603", " Bacteria", " NA", " Actinomycetia", " Micrococcales", " Jonesiaceae", " Jonesia", " Jonesia denitrificans"
"SRR017878", 247523, 63832954, 526225, " Geodermatophilus obscurus DSM 43160", " Bacteria", " NA", " Actinomycetia", " Geodermatophilales", " Geodermatophilaceae", " Geodermatophilus", " Geodermatophilus obscurus"
"SRR958912", 4466805, 902294610, 1203624, " Corynebacterium sp. KPL1995", " Bacteria", " NA", " Actinomycetia", " Corynebacteriales", " Corynebacteriaceae", " Corynebacterium", " Corynebacterium sp. KPL1995"
"DRR161281", 108409, 647942657, 319706, " Mycolicibacterium phocaicum", " Bacteria", " NA", " Actinomycetia", " Corynebacteriales", " Mycobacteriaceae", " Mycolicibacterium", " Mycolicibacterium phocaicum"
"SRR17248898", 9557862, 1857134908, 2903532, " Streptomyces sp. IBSBF 2394", " Bacteria", " NA", " Actinomycetia", " Streptomycetales", " Streptomycetaceae", " Streptomyces", " Streptomyces sp. IBSBF 2394"
"SRR7613406", 178458, 1196363118, 2201353, " Streptomyces sp. KY4", " Bacteria", " NA", " Actinomycetia", " Streptomycetales", " Streptomycetaceae", " Streptomyces", " Streptomyces sp. KY4"
"SRR18700815", 1068290, 5280359535, 1921566, " Nocardioides cavernae", " Bacteria", " NA", " Actinomycetia", " Propionibacteriales", " Nocardioidaceae", " Nocardioides", " Nocardioides cavernae"
"SRR7806391", 11789571, 3560450442, 660067, " Leucobacter chromiireducens subsp. chromiireducens", " Bacteria", " NA", " Actinomycetia", " Micrococcales", " Microbacteriaceae", " Leucobacter", " Leucobacter chromiireducens"
"SRR6308341", 163482, 2225706459, 1896961, " Amycolatopsis sp. AA4", " Bacteria", " NA", " Actinomycetia", " Pseudonocardiales", " Pseudonocardiaceae", " Amycolatopsis", " Amycolatopsis sp. AA4"
"SRR10803141", 73040, 492837002, 2593973, " Ornithinimicrobium pratense", " Bacteria", " NA", " Actinomycetia", " Micrococcales", " Ornithinimicrobiaceae", " Ornithinimicrobium", " Ornithinimicrobium pratense"
"SRR1799459", 4490931, 1347279300, 1408342, " Salinispora arenicola CNY679", " Bacteria", " NA", " Actinomycetia", " Micromonosporales", " Micromonosporaceae", " Salinispora", " Salinispora arenicola"
"SRR4423487", 1159339, 696611340, 1908205, " Mycobacterium syngnathidarum", " Bacteria", " NA", " Actinomycetia", " Corynebacteriales", " Mycobacteriaceae", " Mycobacterium", " Mycobacterium syngnathidarum"
"SRR6511960", 2044552, 521999974, 543736, " Rhodococcus opacus PD630", " Bacteria", " NA", " Actinomycetia", " Corynebacteriales", " Nocardiaceae", " Rhodococcus", " Rhodococcus opacus"
"SRR15084943", 8226354, 1645270800, 2738128, " Streptomyces sp. JJ38", " Bacteria", " NA", " Actinomycetia", " Streptomycetales", " Streptomycetaceae", " Streptomyces", " Streptomyces sp. JJ38"
"SRR5434952", 2584911, 1248443180, 1978350, " Microbacterium sp. LEMMJ01", " Bacteria", " NA", " Actinomycetia", " Micrococcales", " Microbacteriaceae", " Microbacterium", " Microbacterium sp. LEMMJ01"
"SRR18700938", 1170655, 6054519539, 37930, " Glutamicibacter protophormiae", " Bacteria", " NA", " Actinomycetia", " Micrococcales", " Micrococcaceae", " Glutamicibacter", " Glutamicibacter protophormiae"
"SRR7631878", 53638, 494050077, 2201997, " Streptomyces sp. Ae150A_B2", " Bacteria", " NA", " Actinomycetia", " Streptomycetales", " Streptomycetaceae", " Streptomyces", " Streptomyces sp. Ae150A_B2"
"SRR20336619", 6736423, 2034399746, 2823891, " Corynebacterium sp. CCUG 70398", " Bacteria", " NA", " Actinomycetia", " Corynebacteriales", " Corynebacteriaceae", " Corynebacterium", " Corynebacterium sp. CCUG 70398"
"SRR3544496", 163482, 3127879773, 1748, " Acidipropionibacterium acidipropionici", " Bacteria", " NA", " Actinomycetia", " Propionibacteriales", " Propionibacteriaceae", " Acidipropionibacterium", " Acidipropionibacterium acidipropionici"
"SRR4240120", 2500443, 67511961, 446469, " Sanguibacter keddieii DSM 10542", " Bacteria", " NA", " Actinomycetia", " Micrococcales", " Sanguibacteraceae", " Sanguibacter", " Sanguibacter keddieii"
"SRR4218317", 2314306, 698920412, 1005945, " Nocardioides psychrotolerans", " Bacteria", " NA", " Actinomycetia", " Propionibacteriales", " Nocardioidaceae", " Nocardioides", " Nocardioides psychrotolerans"
"SRR4017098", 163482, 1498931683, 1885572, " Pseudonocardia sp. Ae707_Ps1", " Bacteria", " NA", " Actinomycetia", " Pseudonocardiales", " Pseudonocardiaceae", " Pseudonocardia", " Pseudonocardia sp. Ae707_Ps1"
"SRR11748362", 163482, 930142762, 1453555, " Streptomyces sp. SW4", " Bacteria", " NA", " Actinomycetia", " Streptomycetales", " Streptomycetaceae", " Streptomyces", " Streptomyces sp. SW4"
"SRR13171160", 133821, 918527761, 1925550, " Rhodococcus sp. M8", " Bacteria", " NA", " Actinomycetia", " Corynebacteriales", " Nocardiaceae", " Rhodococcus", " Rhodococcus sp. M8"
"SRR10511461", 4821899, 1446569700, 2593674, " Saccharothrix deserti", " Bacteria", " NA", " Actinomycetia", " Pseudonocardiales", " Pseudonocardiaceae", " Saccharothrix", " Saccharothrix deserti"
"SRR3924102", 6408817, 230717412, 927661, " Cryptosporangium arvum DSM 44712", " Bacteria", " NA", " Actinomycetia", " Cryptosporangiales", " Cryptosporangiaceae", " Cryptosporangium", " Cryptosporangium arvum"
"DRR064043", 79751, 95210442, 1220574, " Gordonia amicalis NBRC 100051 = JCM 11271", " Bacteria", " NA", " Actinomycetia", " Corynebacteriales", " Gordoniaceae", " Gordonia", " Gordonia amicalis"
"SRR7456386", 8412505, 2540576510, 102891, " Frankia sp. ACN1ag", " Bacteria", " NA", " Actinomycetia", " Frankiales", " Frankiaceae", " Frankia", " Frankia sp. ACN1ag"
"SRR10861646", 17335865, 3467173000, 1968788, " Mycobacterium sp. CBMA 213", " Bacteria", " NA", " Actinomycetia", " Corynebacteriales", " Mycobacteriaceae", " Mycolicibacterium", " Mycolicibacterium sp. CBMA 213"
"SRR6654039", 2148993, 648995886, 2080545, " Rathayibacter sp. AY1D4", " Bacteria", " NA", " Actinomycetia", " Micrococcales", " Microbacteriaceae", " Rathayibacter", " Rathayibacter sp. AY1D4"
"SRR3350475", 470203, 142001306, 1840518, " Gardnerella sp. 30-4", " Bacteria", " NA", " Actinomycetia", " Bifidobacteriales", " Bifidobacteriaceae", " Gardnerella", " Gardnerella sp. 30-4"
"SRR1796725", 11939620, 3581886000, 903528, " Rhodococcus rhodochrous J3", " Bacteria", " NA", " Actinomycetia", " Corynebacteriales", " Nocardiaceae", " Rhodococcus", " Rhodococcus rhodochrous"
"SRR4018010", 163482, 453627121, 1885573, " Pseudonocardia sp. Ae717_Ps2", " Bacteria", " NA", " Actinomycetia", " Pseudonocardiales", " Pseudonocardiaceae", " Pseudonocardia", " Pseudonocardia sp. Ae717_Ps2"
"SRR4004216", 3042313, 1831472426, 1885031, " Pseudonocardia sp. Ae331_Ps2", " Bacteria", " NA", " Actinomycetia", " Pseudonocardiales", " Pseudonocardiaceae", " Pseudonocardia", " Pseudonocardia sp. Ae331_Ps2"
"SRR6654106", 1970223, 595007346, 2080570, " Rathayibacter sp. AY2B5", " Bacteria", " NA", " Actinomycetia", " Micrococcales", " Microbacteriaceae", " Rathayibacter", " Rathayibacter sp. AY2B5"
"SRR10491698", 1285226, 570309876, 2676754, " Bifidobacteriaceae bacterium NR002", " Bacteria", " NA", " Actinomycetia", " Bifidobacteriales", " Bifidobacteriaceae", " NA", " Bifidobacteriaceae bacterium NR002"
"SRR16573632", 163482, 2410185840, 2750812, " Actinomadura graeca", " Bacteria", " NA", " Actinomycetia", " Streptosporangiales", " Thermomonosporaceae", " Actinomadura", " Actinomadura graeca"
"SRR16027391", 11184072, 2259182544, 2878199, " Streptomyces sp. BRA346", " Bacteria", " NA", " Actinomycetia", " Streptomycetales", " Streptomycetaceae", " Streptomyces", " Streptomyces sp. BRA346"
"SRR1745419", 856938, 258138366, 1592327, " Actinobacteria bacterium OK074", " Bacteria", " NA", " Actinomycetia", " NA", " NA", " NA", " Actinobacteria bacterium OK074"
"SRR18700780", 866637, 4540429684, 29320, " Paenarthrobacter nicotinovorans", " Bacteria", " NA", " Actinomycetia", " Micrococcales", " Micrococcaceae", " Paenarthrobacter", " Paenarthrobacter nicotinovorans"
"SRR958911", 3457225, 698359450, 1203622, " Corynebacterium sp. KPL1989", " Bacteria", " NA", " Actinomycetia", " Corynebacteriales", " Corynebacteriaceae", " Corynebacterium", " Corynebacterium sp. KPL1989"
"SRR018450", 21180, 5431256, 446470, " Stackebrandtia nassauensis DSM 44728", " Bacteria", " NA", " Actinomycetia", " Glycomycetales", " Glycomycetaceae", " Stackebrandtia", " Stackebrandtia nassauensis"
"SRR3490916", 18284486, 2742672900, 1380386, " Mycobacterium sp. URHB0044", " Bacteria", " NA", " Actinomycetia", " Corynebacteriales", " Mycobacteriaceae", " Mycobacterium", " Mycobacterium sp. URHB0044"
"SRR958915", 838371, 169350942, 1203632, " Corynebacterium sp. KPL2004", " Bacteria", " NA", " Actinomycetia", " Corynebacteriales", " Corynebacteriaceae", " Corynebacterium", " Corynebacterium sp. KPL2004"
"SRR4240101", 12210861, 476223579, 446465, " Brachybacterium faecium DSM 4810", " Bacteria", " NA", " Actinomycetia", " Micrococcales", " Dermabacteraceae", " Brachybacterium", " Brachybacterium faecium"
"SRR10202659", 16919454, 8933348117, 480418, " Mycobacterium lepromatosis", " Bacteria", " NA", " Actinomycetia", " Corynebacteriales", " Mycobacteriaceae", " Mycobacterium", " Mycobacterium lepromatosis"
"SRR8784741", 8912300, 4473974600, 2559605, " Streptomyces sp. 4R-3d", " Bacteria", " NA", " Actinomycetia", " Streptomycetales", " Streptomycetaceae", " Streptomyces", " Streptomyces sp. 4R-3d"
"SRR1801377", 10653265, 3217286030, 938454, " actinobacterium SCGC AAA028-G02", " Bacteria", " NA", " Actinomycetia", " NA", " NA", " NA", " actinobacterium SCGC AAA028-G02"
"SRR8113441", 90146, 878223491, 2483113, " Streptomyces sp. I6", " Bacteria", " NA", " Actinomycetia", " Streptomycetales", " Streptomycetaceae", " Streptomyces", " Streptomyces sp. I6"
"SRR4063168", 6349195, 1904758500, 1502745, " Mycobacterium sp. UNC267MFSha1.1M11", " Bacteria", " NA", " Actinomycetia", " Corynebacteriales", " Mycobacteriaceae", " Mycobacterium", " Mycobacterium sp. UNC267MFSha1.1M11"
"SRR19914507", 658854, 268896133, 2950106, " Rathayibacter sp. ZW T2_19", " Bacteria", " NA", " Actinomycetia", " Micrococcales", " Microbacteriaceae", " Rathayibacter", " Rathayibacter sp. ZW T2_19"
"SRR13557733", 4162630, 1215220006, 43304, " Mycolicibacterium peregrinum", " Bacteria", " NA", " Actinomycetia", " Corynebacteriales", " Mycobacteriaceae", " Mycolicibacterium", " Mycolicibacterium peregrinum"
