"library_id","description","total_spots","total_bases","label"
"SRR3453402","none",60685,36532370,"amplicon"
"SRR3453404","none",124506,74952612,"amplicon"
"SRR3453406","none",48145,28983290,"amplicon"
"SRR3453408","none",23780,14315560,"amplicon"
"SRR3453410","none",82431,49623462,"amplicon"
"SRR3453412","none",98096,59053792,"amplicon"
"SRR3453414","none",108667,65417534,"amplicon"
"SRR3453416","none",19905,11982810,"amplicon"
"SRR3453417","none",110900,66761800,"amplicon"
"SRR3453418","none",91960,55359920,"amplicon"
"SRR3453419","none",113370,68248740,"amplicon"
"SRR3453420","none",247923,149249646,"amplicon"
"SRR3453422","none",118260,71192520,"amplicon"
"SRR3453424","none",60718,36552236,"amplicon"
"SRR3453426","none",107221,64547042,"amplicon"
"SRR3453428","none",24305,14631610,"amplicon"
"SRR3453430","none",70068,42180936,"amplicon"
"SRR3453431","none",137065,82513130,"amplicon"
"SRR3453433","none",41081,24730762,"amplicon"
"SRR3453435","none",178388,107389576,"amplicon"
"SRR3453437","none",56750,34163500,"amplicon"
"SRR3453455","none",42607,12841935,"amplicon"
"SRR3453457","none",94914,28603836,"amplicon"
"SRR3453459","none",48155,14520849,"amplicon"
"SRR3453461","none",549551,165839599,"amplicon"
"SRR3453473","none",176189,53135927,"amplicon"
"SRR3453475","none",181800,54796532,"amplicon"
"SRR3453477","none",306975,92531634,"amplicon"
"SRR3453481","none",233871,70510209,"amplicon"
"SRR3453483","none",56824,17136657,"amplicon"
"SRR3453485","none",354378,106884865,"amplicon"
"SRR3453487","none",64819,19542405,"amplicon"
"SRR3453489","none",93894,28329182,"amplicon"
"SRR3453491","none",350978,105877606,"amplicon"
"SRR3453493","none",380849,114824680,"amplicon"
"SRR3453495","none",75726,22841853,"amplicon"
"SRR3453504","none",58972,17779008,"amplicon"
"SRR3453506","none",95152,28672004,"amplicon"
"SRR3453508","none",166433,50157032,"amplicon"
"SRR3453510","none",325575,98149558,"amplicon"
"SRR3453512","none",46500,14031038,"amplicon"
"SRR3453514","none",37454,11299864,"amplicon"
"SRR3453516","none",28905,8722687,"amplicon"
"SRR3453518","none",80135,24186435,"amplicon"
"SRR3453520","none",116642,35184304,"amplicon"
"SRR3453523","none",51894,15651440,"amplicon"
"SRR3453524","none",41302,12448087,"amplicon"
"SRR3453526","none",230179,69360631,"amplicon"
"SRR3453528","none",205457,61938801,"amplicon"
"SRR3453530","none",51476,15520613,"amplicon"
"SRR3453532","none",355972,107443340,"amplicon"
"SRR3453537","none",365238,110062926,"amplicon"
"SRR3453539","none",362442,109273260,"amplicon"
"SRR3453563","none",310772,93758033,"amplicon"
"SRR3453565","none",97833,29520204,"amplicon"
"SRR3453567","none",208431,62881482,"amplicon"
"SRR3453569","none",100828,30409677,"amplicon"
"SRR3453571","none",555576,167619971,"amplicon"
"SRR3453573","none",73087,22029561,"amplicon"
"SRR3453575","none",492387,148568449,"amplicon"
"SRR3453577","none",119697,36099131,"amplicon"
"SRR3453579","none",405128,122168562,"amplicon"
"SRR3453583","none",106196,32040045,"amplicon"
"SRR3453589","none",47472,14326703,"amplicon"
"SRR3453591","none",61874,18613298,"amplicon"
"SRR3453592","none",404679,122066776,"amplicon"
"SRR3453594","none",120899,36474493,"amplicon"
"SRR3453596","none",95705,28868845,"amplicon"
"SRR3453598","none",57621,17388882,"amplicon"
"SRR3453600","none",103821,31325113,"amplicon"
"SRR3453602","none",77585,23411808,"amplicon"
"SRR3453604","none",150581,45445719,"amplicon"
"SRR3453606","none",66818,20160286,"amplicon"
"SRR3453608","none",469920,141792772,"amplicon"
"SRR3453610","none",140626,42433131,"amplicon"
"SRR3453612","none",135322,40823709,"amplicon"
"SRR3453614","none",81507,24593589,"amplicon"
"SRR3453616","none",181349,54724877,"amplicon"
"SRR3453618","none",117363,35390878,"amplicon"
"SRR3453620","none",149995,45218414,"amplicon"
"SRR3453624","none",110029,33159198,"amplicon"
"SRR3453820","none",36521,21965621,"amplicon"
"SRR3453822","none",117025,70364897,"amplicon"
"SRR3453824","none",172337,103683803,"amplicon"
"SRR3453826","none",346384,208379464,"amplicon"
"SRR3453837","none",230405,138539850,"amplicon"
"SRR3453839","none",43119,25918865,"amplicon"
"SRR3453841","none",76362,45908761,"amplicon"
"SRR3453845","none",237464,142827839,"amplicon"
"SRR3453847","none",160766,96685458,"amplicon"
"SRR3453849","none",73532,44219486,"amplicon"
"SRR3453851","none",123241,74078067,"amplicon"
"SRR3453853","none",159781,96081616,"amplicon"
"SRR3453855","none",523103,314473086,"amplicon"
"SRR3453857","none",31776,19105990,"amplicon"
"SRR3453859","none",136252,81919736,"amplicon"
"SRR3453868","none",63811,38372481,"amplicon"
"SRR3453870","none",644041,387245332,"amplicon"
"SRR3453873","none",92133,55385919,"amplicon"
"SRR3453875","none",222610,133966671,"amplicon"
"SRR3453877","none",127374,76608767,"amplicon"
"SRR3453879","none",180148,108321205,"amplicon"
"SRR3453881","none",140522,84502333,"amplicon"
"SRR3453883","none",97202,58435229,"amplicon"
"SRR3453886","none",88790,53370630,"amplicon"
"SRR3453887","none",197821,118935734,"amplicon"
"SRR3453889","none",218011,131087093,"amplicon"
"SRR3453891","none",34422,20698547,"amplicon"
"SRR3453893","none",33980,20433542,"amplicon"
"SRR3453895","none",39685,23862504,"amplicon"
"SRR3453897","none",53738,32309822,"amplicon"
"SRR3453901","none",70432,42338284,"amplicon"
"SRR3453903","none",147911,88954854,"amplicon"
"SRR3453905","none",52811,31761345,"amplicon"
"SRR3453919","none",75213,45194970,"amplicon"
"SRR3453921","none",350993,210963198,"amplicon"
"SRR3453923","none",77907,46843596,"amplicon"
"SRR3453927","none",83851,50390104,"amplicon"
"SRR3453929","none",150160,90301623,"amplicon"
"SRR3453931","none",185354,111377532,"amplicon"
"SRR3453933","none",266347,160221163,"amplicon"
"SRR3453937","none",133941,80520561,"amplicon"
"SRR3453939","none",109591,65909346,"amplicon"
"SRR3453941","none",179289,107794578,"amplicon"
"SRR3453945","none",196889,118344449,"amplicon"
"SRR3453947","none",482377,289927678,"amplicon"
"SRR3453951","none",514800,309437863,"amplicon"
"SRR3453952","none",139650,83937051,"amplicon"
"SRR3453957","none",220093,132318952,"amplicon"
"SRR3453958","none",37623,22621411,"amplicon"
"SRR3453959","none",333148,200303300,"amplicon"
"SRR3453960","none",41517,24961506,"amplicon"
"SRR3453978","none",50682,30489395,"amplicon"
"SRR3453983","none",35862,21558610,"amplicon"
"SRR3453985","none",91036,54753975,"amplicon"
"SRR3454007","none",120976,72758298,"amplicon"
"SRR3454009","none",272482,163856972,"amplicon"
"SRR3454011","none",208510,125280897,"amplicon"
"SRR3454013","none",109621,65906206,"amplicon"
"SRR3454015","none",87721,52746528,"amplicon"
"SRR3454018","none",402885,242329108,"amplicon"
"SRR3454020","none",10076,6055810,"amplicon"
"SRR3454022","none",119422,71790308,"amplicon"
"SRR3454026","none",376184,226146494,"amplicon"
"SRR3454031","none",53091,31916069,"amplicon"
"SRR3454033","none",422340,253988538,"amplicon"
"SRR3454034","none",184685,111057191,"amplicon"
"SRR3454036","none",114337,68745750,"amplicon"
"SRR3454038","none",501689,301648954,"amplicon"
"SRR3454040","none",106670,64145523,"amplicon"
"SRR3454042","none",280161,168474751,"amplicon"
"SRR3454044","none",85203,51239995,"amplicon"
"SRR3454046","none",682178,410241820,"amplicon"
"SRR3454048","none",224630,135082284,"amplicon"
"SRR3454050","none",671825,403996288,"amplicon"
"SRR3454052","none",89965,54114884,"amplicon"
"SRR3454054","none",352623,212037269,"amplicon"
"SRR3454056","none",276376,166225235,"amplicon"
"SRR3454058","none",294262,176909959,"amplicon"
"SRR3454060","none",115116,69215613,"amplicon"
"SRR3454061","none",44774,26910791,"amplicon"
"SRR3454065","none",23456,14098081,"amplicon"
"SRR3454066","none",158004,47655361,"amplicon"
"SRR3454067","none",280489,84573156,"amplicon"
"SRR3454074","none",262523,79121003,"amplicon"
"SRR3454075","none",190839,57569517,"amplicon"
"SRR3454078","none",110303,33254968,"amplicon"
"SRR3454079","none",161947,48874708,"amplicon"
"SRR3454097","none",82574,24885006,"amplicon"
"SRR3454108","none",219064,65971521,"amplicon"
"SRR3454109","none",219964,66330661,"amplicon"
"SRR3454123","none",118727,35797230,"amplicon"
"SRR3454124","none",208656,62877866,"amplicon"
"SRR3454125","none",227891,68715463,"amplicon"
"SRR3454126","none",83434,25173136,"amplicon"
"SRR3454127","none",144787,43645160,"amplicon"
"SRR3454128","none",88716,26758554,"amplicon"
"SRR3454129","none",41217,12423309,"amplicon"
"SRR3454130","none",71517,21565606,"amplicon"
"SRR3454131","none",172405,51938131,"amplicon"
"SRR3454132","none",82081,24759372,"amplicon"
"SRR3454145","none",250737,75581850,"amplicon"
"SRR3454149","none",343715,103733283,"amplicon"
"SRR3454155","none",310310,93650631,"amplicon"
"SRR3454157","none",418469,126212265,"amplicon"
"SRR3454159","none",264672,79840745,"amplicon"
"SRR3454161","none",302609,91219383,"amplicon"
"SRR3454163","none",431917,130244923,"amplicon"
"SRR3454165","none",165612,49958072,"amplicon"
"SRR3454167","none",508925,153621681,"amplicon"
"SRR3454169","none",373084,112542328,"amplicon"
"SRR3454171","none",344984,104056700,"amplicon"
"SRR3454173","none",402061,121300625,"amplicon"
"SRR3454189","none",30895,18598790,"amplicon"
"SRR3454194","none",26552,15984304,"amplicon"
"SRR3454195","none",26561,15989722,"amplicon"
"SRR3454197","none",24786,14921172,"amplicon"
"SRR3454199","none",23121,13918842,"amplicon"
"SRR3454201","none",26927,16210054,"amplicon"
"SRR3454203","none",25338,15253476,"amplicon"
"SRR3454205","none",23617,14217434,"amplicon"
"SRR3454207","none",22931,13804462,"amplicon"
"SRR3454209","none",26230,15790460,"amplicon"
"SRR3454211","none",21753,13095306,"amplicon"
"SRR3454213","none",26653,16045106,"amplicon"
"SRR3454215","none",16733,10073266,"amplicon"
"SRR3454217","none",31040,18686080,"amplicon"
"SRR3454218","none",16148,9721096,"amplicon"
"SRR3454221","none",28577,17203354,"amplicon"
"SRR3454223","none",35271,21233142,"amplicon"
"SRR3454225","none",31115,18731230,"amplicon"
"SRR3454227","none",34027,20484254,"amplicon"
"SRR3454231","none",35870,21593740,"amplicon"
"SRR3454233","none",25710,15477420,"amplicon"
"SRR3454235","none",33356,20080312,"amplicon"
"SRR3454237","none",26192,15767584,"amplicon"
"SRR3454239","none",32682,19674564,"amplicon"
"SRR3454241","none",27850,16765700,"amplicon"
"SRR3454243","none",30589,18414578,"amplicon"
"SRR3454244","none",10915,6570830,"amplicon"
"SRR3454247","none",26868,16174536,"amplicon"
"SRR3454248","none",25907,15596014,"amplicon"
"SRR3454249","none",26342,15857884,"amplicon"
"SRR3454250","none",25958,15626716,"amplicon"
"SRR3454251","none",26682,16062564,"amplicon"
"SRR3454253","none",24404,14691208,"amplicon"
"SRR3454818","none",75875,22914250,"amplicon"
"SRR3454820","none",77387,23370874,"amplicon"
"SRR3454826","none",78018,23561436,"amplicon"
"SRR3454829","none",62473,18866846,"amplicon"
"SRR3454831","none",73746,22271292,"amplicon"
"SRR3454833","none",76116,22987032,"amplicon"
"SRR3454835","none",30587,9237274,"amplicon"
"SRR3454836","none",77708,23467816,"amplicon"
"SRR3454838","none",77238,23325876,"amplicon"
"SRR3454839","none",76028,22960456,"amplicon"
"SRR3454841","none",71483,21587866,"amplicon"
"SRR3454843","none",98962,29886524,"amplicon"
"SRR3454845","none",43464,13126128,"amplicon"
"SRR3454847","none",77441,23387182,"amplicon"
"SRR3454849","none",71132,21481864,"amplicon"
"SRR3454851","none",88039,26587778,"amplicon"
"SRR3454853","none",47526,14352852,"amplicon"
"SRR3454855","none",75073,22672046,"amplicon"
"SRR3454857","none",95032,28699664,"amplicon"
"SRR3454859","none",76280,23036560,"amplicon"
"SRR3454861","none",34196,10327192,"amplicon"
"SRR3454863","none",102643,30998186,"amplicon"
"SRR3454865","none",90923,27458746,"amplicon"
"SRR3454867","none",126323,38149546,"amplicon"
"SRR3454869","none",61801,18663902,"amplicon"
"SRR3454871","none",95428,28819256,"amplicon"
"SRR3454873","none",100436,30331672,"amplicon"
"SRR3454875","none",112122,33860844,"amplicon"
"SRR3454877","none",74018,22353436,"amplicon"
"SRR3454879","none",70603,21322106,"amplicon"
"SRR3454880","none",111474,33665148,"amplicon"
"SRR3454881","none",112291,33911882,"amplicon"
"SRR3454882","none",129154,39004508,"amplicon"
"SRR3454883","none",55724,16828648,"amplicon"
"SRR3454885","none",66201,19992702,"amplicon"
"SRR3454887","none",129937,39240974,"amplicon"
"SRR3454889","none",79791,24096882,"amplicon"
"SRR3454891","none",54706,16521212,"amplicon"
"SRR3454893","none",73128,22084656,"amplicon"
"SRR3454895","none",109492,33066584,"amplicon"
"SRR3454897","none",72648,21939696,"amplicon"
"SRR3454899","none",74277,22431654,"amplicon"
"SRR3454901","none",38245,11549990,"amplicon"
"SRR3454906","none",84707,25581514,"amplicon"
"SRR3454912","none",93897,28356894,"amplicon"
"SRR3454913","none",97502,29445604,"amplicon"
"SRR3454915","none",129078,38981556,"amplicon"
"SRR3454917","none",109328,33017056,"amplicon"
"SRR3454919","none",86788,26209976,"amplicon"
"SRR3454921","none",56659,17111018,"amplicon"
"SRR3454923","none",113039,34137778,"amplicon"
"SRR3454925","none",92222,27851044,"amplicon"
"SRR3454927","none",64841,19581982,"amplicon"
"SRR3454929","none",63348,19131096,"amplicon"
"SRR3454931","none",102449,30939598,"amplicon"
"SRR3454933","none",59920,18095840,"amplicon"
"SRR3454935","none",52281,15788862,"amplicon"
"SRR3454936","none",77762,23484124,"amplicon"
"SRR3454939","none",77661,23453622,"amplicon"
"SRR3454941","none",43112,13019824,"amplicon"
"SRR3454943","none",86579,26146858,"amplicon"
"SRR3454945","none",68575,20709650,"amplicon"
"SRR3454949","none",81396,24581592,"amplicon"
"SRR3454951","none",85427,25798954,"amplicon"
"SRR3454953","none",66455,20069410,"amplicon"
"SRR3454955","none",63179,19080058,"amplicon"
"SRR3454957","none",69964,21129128,"amplicon"
"SRR3454959","none",65118,19665636,"amplicon"
"SRR3454961","none",50060,15118120,"amplicon"
"SRR3454962","none",86760,26201520,"amplicon"
"SRR3454965","none",120532,36400664,"amplicon"
"SRR3454966","none",75267,22730634,"amplicon"
"SRR3454967","none",62389,18841478,"amplicon"
"SRR3454968","none",51164,15451528,"amplicon"
"SRR3454969","none",35690,10778380,"amplicon"
"SRR3454971","none",72836,21996472,"amplicon"
"SRR3454996","none",66428,20061256,"amplicon"
"SRR3454998","none",75961,22940222,"amplicon"
"SRR3455000","none",249106,75230012,"amplicon"
"SRR3455002","none",58332,17616264,"amplicon"
"SRR3455004","none",37172,11225944,"amplicon"
"SRR3455006","none",71076,21464952,"amplicon"
"SRR3455008","none",88039,26587778,"amplicon"
"SRR3455010","none",68256,20613312,"amplicon"
"SRR3455012","none",83070,25087140,"amplicon"
"SRR3455014","none",92340,27886680,"amplicon"
"SRR3455016","none",60855,18378210,"amplicon"
"SRR3455018","none",58782,17752164,"amplicon"
"SRR3455020","none",77176,23307152,"amplicon"
"SRR3455050","none",58878,17781156,"amplicon"
"SRR3455052","none",73148,22090696,"amplicon"
"SRR3455054","none",73531,22206362,"amplicon"
"SRR3455057","none",101301,30592902,"amplicon"
"SRR3455059","none",67226,20302252,"amplicon"
"SRR3455061","none",52028,15712456,"amplicon"
"SRR3455062","none",58826,17765452,"amplicon"
"SRR3455064","none",89895,27148290,"amplicon"
"SRR3455066","none",83168,25116736,"amplicon"
"SRR3455068","none",111254,33598708,"amplicon"
"SRR3455070","none",84971,25661242,"amplicon"
"SRR3455072","none",67837,20486774,"amplicon"
"SRR3455074","none",72377,21857854,"amplicon"
"SRR3455076","none",37723,11392346,"amplicon"
"SRR3455085","none",105368,31821136,"amplicon"
"SRR3455087","none",76253,23028406,"amplicon"
"SRR3455088","none",33410,20112820,"amplicon"
"SRR3455090","none",36590,22027180,"amplicon"
"SRR3455092","none",45785,27562570,"amplicon"
"SRR3455094","none",5376,3236352,"amplicon"
"SRR3455096","none",40574,24425548,"amplicon"
"SRR3455097","none",44025,26503050,"amplicon"
"SRR3455099","none",7334,4415068,"amplicon"
"SRR3455101","none",37044,22300488,"amplicon"
"SRR3455103","none",34629,20846658,"amplicon"
"SRR3455105","none",32129,19341658,"amplicon"
"SRR3455107","none",39034,23498468,"amplicon"
"SRR3455109","none",31590,19017180,"amplicon"
"SRR3455111","none",36555,22006110,"amplicon"
"SRR3455138","none",32452,19536104,"amplicon"
"SRR3455140","none",36352,21883904,"amplicon"
"SRR3455142","none",38671,23279942,"amplicon"
"SRR3455144","none",31668,19064136,"amplicon"
"SRR3455147","none",30583,18410966,"amplicon"
"SRR3455149","none",32325,19459650,"amplicon"
"SRR3455151","none",34118,20539036,"amplicon"
"SRR3455153","none",38509,23182418,"amplicon"
"SRR3455154","none",41253,24834306,"amplicon"
"SRR3455156","none",43208,26011216,"amplicon"
"SRR3455158","none",220200,132560400,"amplicon"
"SRR3455168","none",43496,26184592,"amplicon"
"SRR3455170","none",37005,22277010,"amplicon"
"SRR3455536","none",138568,41761149,"amplicon"
"SRR3455538","none",99898,30098524,"amplicon"
"SRR3455540","none",130423,39310491,"amplicon"
"SRR3455542","none",112121,33792100,"amplicon"
"SRR3455544","none",112612,33945714,"amplicon"
"SRR3455546","none",122305,36903198,"amplicon"
"SRR3455548","none",81141,24466365,"amplicon"
"SRR3455550","none",130251,39264017,"amplicon"
"SRR3455552","none",120179,36226609,"amplicon"
"SRR3455554","none",123162,37113297,"amplicon"
"SRR3455556","none",103122,31076046,"amplicon"
"SRR3455558","none",126489,38122151,"amplicon"
"SRR3455560","none",152459,45959954,"amplicon"
"SRR3455561","none",122078,36792873,"amplicon"
"SRR3455613","none",119598,36064991,"amplicon"
"SRR3455615","none",146513,44186056,"amplicon"
"SRR3455617","none",186094,56087727,"amplicon"
"SRR3455618","none",74895,22578541,"amplicon"
"SRR3455629","none",190479,114518552,"amplicon"
"SRR3455631","none",207988,125052137,"amplicon"
"SRR3455633","none",227155,136593500,"amplicon"
"SRR3455635","none",193097,116032817,"amplicon"
"SRR3455637","none",158509,95286595,"amplicon"
"SRR3455639","none",137970,82907900,"amplicon"
"SRR3455641","none",203248,122166824,"amplicon"
"SRR3455643","none",359003,215744741,"amplicon"
"SRR3455645","none",201503,121141670,"amplicon"
"SRR3455647","none",256683,154294435,"amplicon"
"SRR3455649","none",311139,187036508,"amplicon"
"SRR3455651","none",306453,184221684,"amplicon"
"SRR3455653","none",210160,126286211,"amplicon"
"SRR3455654","none",188130,113081484,"amplicon"
"SRR3455681","none",241181,145025312,"amplicon"
"SRR3455683","none",259147,155837874,"amplicon"
"SRR3455685","none",176095,105886105,"amplicon"
"SRR3455686","none",162039,97437073,"amplicon"
"SRR3455697","none",165358,99545516,"amplicon"
"SRR3455703","none",86210,51898420,"amplicon"
"SRR3455705","none",70742,42586684,"amplicon"
"SRR3455707","none",262984,158316368,"amplicon"
"SRR3455709","none",160615,96690230,"amplicon"
"SRR3455711","none",84250,50718500,"amplicon"
"SRR3455713","none",151267,91062734,"amplicon"
"SRR3455715","none",128833,77557466,"amplicon"
"SRR3455717","none",281248,169311296,"amplicon"
"SRR3455719","none",238543,143602886,"amplicon"
"SRR3455721","none",159816,96209232,"amplicon"
"SRR3455723","none",283218,170497236,"amplicon"
"SRR3455743","none",288108,173441016,"amplicon"
"SRR3455745","none",267095,160791190,"amplicon"
"SRR3455747","none",173791,104622182,"amplicon"
"SRR3455749","none",282051,169794702,"amplicon"
"SRR3455751","none",128503,77358806,"amplicon"
"SRR3455753","none",208836,125719272,"amplicon"
"SRR3455755","none",328774,197921948,"amplicon"
"SRR3455757","none",265904,160074208,"amplicon"
"SRR3455759","none",363833,219027466,"amplicon"
"SRR3455761","none",173263,104304326,"amplicon"
"SRR3455763","none",153080,92154160,"amplicon"
"SRR3455765","none",247530,149013060,"amplicon"
"SRR3455767","none",197377,118820954,"amplicon"
"SRR3455769","none",212509,127930418,"amplicon"
"SRR3455771","none",125791,75726182,"amplicon"
"SRR3455773","none",87751,52826102,"amplicon"
"SRR3455775","none",268302,161517804,"amplicon"
"SRR3455777","none",238282,143445764,"amplicon"
"SRR3455779","none",100692,60616584,"amplicon"
"SRR3455790","none",37,11174,"amplicon"
"SRR3455796","none",192202,58045004,"amplicon"
"SRR3455798","none",76,22952,"amplicon"
"SRR3455800","none",114175,34480850,"amplicon"
"SRR3455802","none",105,31710,"amplicon"
